HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00216398; Inexistente; -; -; -; -; -
MI00273731; Inexistente; -; -; -; -; -
MI00256184; Inexistente; -; -; -; -; -
MI00273219; Inexistente; -; -; -; -; -
MI00243064; Inexistente; -; -; -; -; -
MI00212021; Inexistente; -; -; -; -; -
MI00313972; Inexistente; -; -; -; -; -
MI00314010; Inexistente; -; -; -; -; -
MI00316108; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316108,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00218277; Inexistente; -; -; -; -; -
NO00068232; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068232,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
MI00296058; Inexistente; -; -; -; -; -
NO00054612; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00054612,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00047263; Inexistente; -; -; -; -; -
MI00319701; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319701,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
NO00074001; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00074001,OU=CELISEOS,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
MI00315875; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00315875,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00319293; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319293,OU=TEBIG,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00319628; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319628,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00319717; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319717,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
