HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00316449; Ligado - 0; True; IP; Windows 7 Enterprise; petrobras.biz; CN=MI00316449,OU=TIC,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
MI00320701; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320701,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00316131; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316131,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320676; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320676,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320104; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00320104,OU=ILHA,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00229272; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00229272,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00316160; Desligado - 1; True; ; Windows 10 Enterprise; transp.biz; CN=MI00316160,OU=Windows10,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321220; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321220,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00317880; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317880,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00286274; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00286274,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00248952; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00248952,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00237531; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00237531,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00321252; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321252,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321371; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321371,OU=TEBIG,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00313784; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00313784,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00321584; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321584,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00317883; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317883,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321606; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321606,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321281; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321281,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00286408; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00286408,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00245281; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00245281,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00289604; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289604,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00320620; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320620,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321381; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321381,OU=TEBIG,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320098; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320098,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00320206; Desligado - 1; True; ; Windows 10 Enterprise; transp.biz; CN=MI00320206,OU=ILHA,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321666; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321666,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00315863; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00315863,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00228635; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00228635,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
ES004242; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES004242,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00262376; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00262376,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00319775; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00319775,OU=CELISEOS,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00316053; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316053,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00211306; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00211306,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321279; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321279,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
ES00008990; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008990,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00320140; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320140,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI196172; Inexistente - 1; -; -; -; -; -
MI00316072; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316072,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00228873; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00228873,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00278994; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00278994,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00317437; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317437,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
ES00007782; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00007782,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315903; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00315903,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00321609; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321609,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00322006; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00322006,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
MI00252588; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00252588,OU=REDUC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00315991; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00315991,OU=SEDE-RJ,OU=TIC-RIO,OU=Desktops,DC=transp,DC=biz
